@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
45,'2019/02/12 15:54:15:017',1,384,300,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
46,'2019/02/12 15:54:15:103',1,415,290,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
47,'2019/02/12 15:54:15:186',1,433,294,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
48,'2019/02/12 15:54:15:268',1,453,325,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
49,'2019/02/12 15:54:15:350',1,453,325,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
50,'2019/02/12 15:54:18:802',1,50,155,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
51,'2019/02/12 15:54:19:302',1,143,179,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
52,'2019/02/12 15:54:19:402',1,152,195,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
53,'2019/02/12 15:54:19:471',1,146,214,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
54,'2019/02/12 15:54:19:567',1,118,232,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
